Seller,Relationship,Customer1,Relationship,Customer2,SellerJurisdiction,SellerBUNature,CustomerJurisdiction1,CustomerBUNature1,CustomerJurisdiction2,CustomerBUNature2
BE37E5CAAFB57233770DCBCE1DFE66A3,Sellto,C9259D6BE1C6F32D673D2D006FC26DAE,,,TK0201,"Works Contract,Warehouse \/ Depot,Office \/ Sale Office",ZA0402,"Wholesale Business,Retail Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,39D447087F9231EC612599F86AD6A7B9,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0401,"Office \/ Sale Office,Wholesale Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,176BE4E1E4D9B5DEBB18DA60AA23B4DD,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0404,"Recipient of Goods or Services,Supplier of Services",,
3DD593FF986A16E6589B4D7207F30762,Sellto,C7BA4E3CE2A19C2DFEEA7DCD55592671,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0401,Retail Business,,
3DD593FF986A16E6589B4D7207F30762,Sellto,171C894BAF1B3465F4FE20AD8E71C565,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0404,"Others,Recipient of Goods or Services",,
3DD593FF986A16E6589B4D7207F30762,Sellto,345DC10FEF9F2761947624DB6753EFC9,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0402,Others,,
3DD593FF986A16E6589B4D7207F30762,Sellto,76001C689C30F0A697843350B113F080,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0101,Retail Business,,
3DD593FF986A16E6589B4D7207F30762,Sellto,693340B330FD532BCD53C59BC231B0A8,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0105,Supplier of Services,,
3DD593FF986A16E6589B4D7207F30762,Sellto,7D55C5BFBB151EAC21F94DA33D935741,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0403,Others,,
3DD593FF986A16E6589B4D7207F30762,Sellto,1D28279F5ED7886C6CE8424E28A0D9A1,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0304,"Wholesale Business,Retail Business",,
3DD593FF986A16E6589B4D7207F30762,Sellto,5B7497CE7E09E7DC303121DE34C858BE,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0402,"Others,Recipient of Goods or Services",,
3DD593FF986A16E6589B4D7207F30762,Sellto,CC9A03FB1C9F7FF283B6EFF43BD1C296,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0403,Others,,
FB1A30FB55AAD14536CFBD32A671678D,Sellto,CD8C07BF235BCE5EABACE44A221913AA,,,ZO0504,"Service Provision,Recipient of Goods or Services",ZB0304,Factory \/ Manufacturing,,
0D2BDFE94109D4C51C40C7CCA6C8F71B,Sellto,CD8C07BF235BCE5EABACE44A221913AA,,,ZJ0105,"Service Provision,Recipient of Goods or Services",ZB0304,Factory \/ Manufacturing,,
677A90C3705FA49917F40448739896BC,Sellto,E1D0522B8630C775F63E3D55F03AA90E,SellTo,1D28279F5ED7886C6CE8424E28A0D9A1,YV0404,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",ZA0304,"Wholesale Business,Retail Business"
C08F6B6875B5197729DAE17D1806CBD0,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,VR0601,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
666FBE67534F7148D35B8E83DC8082E5,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,WM0503,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
63270B25266B30A7737AE79E507DF2BB,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,XU0305,"Service Provision,Recipient of Goods or Services",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
3DD593FF986A16E6589B4D7207F30762,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
7176335B8F47977CC98301921A4B1856,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,ZB0101,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services,Office \/ Sale Office",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
BB39A63F3C7E5857CADE12DCA6800C8B,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,VM0505,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services,Import,Warehouse \/ Depot,Export,Supplier of Services",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
1A1D98ADD8A16F45865B06A28A1C8E06,Sellto,E1D0522B8630C775F63E3D55F03AA90E,,,UC0201,"Factory \/ Manufacturing,Office \/ Sale Office,Warehouse \/ Depot",ZB0101,"Service Provision,Office \/ Sale Office,Recipient of Goods or Services,Export,Import,Supplier of Services,Leasing Business,Retail Business,Warehouse \/ Depot,Works Contract",,
